,Screen_Size,Screen_Tech,Screen_Body_Ratio,CPU_Model,CPU_Freq,GPU_Model,RAM,Operating_System,CPU_Tickness,GPU_Freq,RAM_Type,Camera_Resolution,Selfie_Camera_Resolution,Width,Height,Tickness,Weight,Charge_Type,Battery_Size,Storage_Capacity,Release_Year,PRICE
151,6.6 inç,IPS LCD,84.7 %,Qualcomm SM7125 Snapdragon 720G,2.3 GHz,Adreno 618,8 GB RAM,Android 10.0,8 nm,750 MHz,LPDDR4x,64 MP,16 MP,75.8 mm,6.6 inç,8.9 mm,202 gr,USB Type-C,4300 mAh,128 GB,2020,"4.800,00 TL"
152,6.4 inç,Super AMOLED,84.5 %,Samsung Exynos 7 Series 7904,1.8 GHz,Mali-G71 MP2,4 GB RAM,Android 9.0 (Pie),14 nm,Missing,Missing,25 MP,16 MP,74.7 mm,6.4 inç,7.8 mm,166 gr,USB Type-C,4000 mAh,64 GB,2019,"3.331,02 TL"
153,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4:3,Missing,Missing,"99,5 g",Missing,Missing,Missing,Missing,"307,00 TL"
154,6.47 inç,AMOLED,88.7 %,Qualcomm SM6125 Snapdragon 665,2.0 GHz,Adreno 610,6 GB RAM,Android 10.0,11 nm,Missing,LPDDR4x,48 MP,16 MP,72.9 mm,6.47 inç,8.9 mm,172 gr,USB Type-C,4500 mAh,256 GB,2020,"4.489,00 TL"
155,1.43 inç,CSTN TFT,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,45.4 mm,1.43 inç,13.4 mm,67.3 gr,Missing,800 mAh,16 MB,2018,"185,99 TL"
156,6.51 inç,IPS LCD,Missing,Spreadtrum SC9832E,1.6 GHz,Mali-T820 MP1,4 GB RAM,Android 11,28 nm,650 MHz,LPDDR4x,13 MP,5 MP,Missing,6.51 inç,Missing,Missing,Micro-USB,4900 mAh,64 GB,2021,"1.617,00 TL"
157,6.78 inç,Fluid AMOLED,90.8 %,Qualcomm SM8250 Snapdragon 865,2.84 GHz,Adreno 650,8 GB RAM,Android 10.0,7 nm+,587 MHz,LPDDR5,48 MP,16 MP,74.4 mm,6.78 inç,8.5 mm,199 gr,USB Type-C,4510 mAh,128 GB,2020,"9.899,00 TL"
158,6.7 inç,OLED,87.4 %,Apple A14 Bionic,Missing,Apple Quad-Core,6 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,78.1 mm,6.7 inç,7.4 mm,228 gr,Lightning,3687 mAh,512 GB,2020,"23.839,00 TL"
159,6.26 inç,IPS LCD,77.87 %,UNISOC SC9863A,1.6 GHz,PowerVR GE8322,4 GB RAM,Android 11,28 nm,550 MHz,LPDDR4x,8 MP,5 MP,78.5 mm,6.26 inç,9.25 mm,214.5 gr,Micro-USB,3800 mAh,64 GB,2021,"1.619,00 TL"
160,6.52 inç,IPS LCD,81.2 %,MediaTek MT6762D Helio A25,1.8 GHz,PowerVR GE8320,4 GB RAM,Android 10 (Go edition),12 nm,820 MHz,LPDDR4x,13 MP,8 Mp,76.3 mm,6.52 inç,9.1 mm,Missing,Micro-USB,5000 mAh,64 GB,2020,"1.879,00 TL"
161,6.22 inç,IPS LCD,81.07 %,Qualcomm SDM439 Snapdragon 439,1.95 GHz,Adreno 505,2 GB RAM,Android 9.0 (Pie),Missing,Missing,Missing,12 MP,12 MP,75.41 mm,6.22 inç,9.4 mm,188 gr,USB Type-C,5000 mAh,32 GB,2019,"2.600,00 TL"
162,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"2.535,87 TL"
163,5.5 inç,Super AMOLED,73.11 %,Samsung Exynos 7 Octa 7870,1.6 GHz,Mali-T830 MP1,3 GB RAM,Android 7.0 (Nougat),14 nm,700 MHz,LPDDR3,13 MP,13 MP,74.8 mm,5.5 inç,8 mm,181 gr,Micro-USB,3600 mAh,16 GB,2017,"2.449,02 TL"
164,6.22 inç,IPS LCD,81.07 %,Qualcomm Snapdragon 439 (SDM439),1.95 GHz,Adreno 505,4 GB RAM,Android 9.0 (Pie),12 nm,Missing,LPDDR3,12 MP,8 Mp,75.41 mm,6.22 inç,9.4 mm,188 gr,USB Type-C,5000 mAh,64 GB,2019,"3.099,00 TL"
165,6.53 inç,IPS LCD,85.4 %,Qualcomm SM6125 Snapdragon 665,2.0 GHz,Adreno 610,6 GB RAM,Android 10.0,11 nm,Missing,Missing,48 MP,16 MP,75.6 mm,6.53 inç,8.4 mm,180 gr,USB Type-C,4000 mAh,64 GB,2020,"3.125,00 TL"
166,6.43 inç,OLED,83.5 %,Qualcomm SM7125 Snapdragon 720G,2.3 GHz,Adreno 618,8 GB RAM,Android 10.0,8 nm,750 MHz,LPDDR4x,48 MP,32 MP,73.9 mm,6.43 inç,7.7 mm,165 gr,USB Type-C,4015 mAh,128 GB,2020,"5.487,02 TL"
167,6.09 inç,IPS LCD,86 %,MediaTek MT6762D (Helio A25),1.8 GHz,PowerVR GE8320,3 GB RAM,Android 10 (Q),12 nm,600 MHz,LPDDR3,13 MP,8 Mp,Missing,6.09 inç,8.8 mm,Missing,USB Type-C,4000 mAh,2 GB,2020,"1.694,01 TL"
168,6.53 inç,IPS LCD,87.3 %,MediaTek MT6763 (Helio P23),2.0 GHz,Mali-G71 MP2,4 GB RAM,Android 10 (Q),16 nm,700 MHz,LPDDR4x,16 MP,16 MP,74.9 mm,6.53 inç,8.5 mm,212 gr,USB Type-C,4150 mAh,64 GB,2020,"2.099,00 TL"
169,6.58 inç,IPS LCD,84.5 %,Qualcomm SM4350 Snapdragon 480 5G,2.0 GHz,Adreno 619,8 GB RAM,Android 11,8 nm,950 MHz,LPDDR4x,64 MP,8 Mp,75.3 mm,6.58 inç,8.5 mm,189 gr,USB Type-C,5000 mAh,128 GB,2021,"4.312,00 TL"
170,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"3.136,00 TL"
171,6.53 inç,IPS LCD,84.81 %,MediaTek Helio P60,2.0 GHz,Mali-G72 MP3,6 GB RAM,Android 10 (Q),12 nm,800 MHz,LPDDR4x,48 MP,25 MP,76 mm,6.53 inç,8.8 mm,173 gr,USB Type-C,4250 mAh,128 GB,2020,"2.082,90 TL"
172,5.5 inç,IPS LCD,73.82 %,MediaTek MT6739,1.5 GHz,PowerVR GE8100,1 GB RAM,Android 8.1 (Oreo GO Edition),28 nm,570 MHz,LPDDR3,13 MP,5 MP,70.5 mm,5.5 inç,8.59 mm,148 gr,Micro-USB,3500 mAh,16 GB,2019,"1.358,99 TL"
173,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"240,00 TL"
174,6.1 inç,Dynamic AMOLED,88.01 %,Samsung Exynos 9 Series 9820,2.73 GHz,Mali-G76 MP12,6 GB RAM,Android 9.0 (Pie),8 nm,Missing,LPDDR4x,12 MP,10 MP,70.4 mm,6.1 inç,7.8 mm,157 gr,USB Type-C,3400 mAh,128 GB,2019,"9.199,00 TL"
175,6.1 inç,IPS LCD,80.3 %,MediaTek MT6762 Helio P22,2.0 GHz,PowerVR GE8320,3 GB RAM,Android 9.0 (Pie),12 nm,650 MHz,Missing,13 MP,5 MP,73.7 mm,6.1 inç,8.5 mm,166 gr,Micro-USB,4000 mAh,64 GB,2019,"1.896,30 TL"
176,6.14 inç,Super AMOLED,Missing,Qualcomm SDM450 Snapdragon 450,1.8 GHz,Adreno 506,3 GB RAM,Android 10.0,14 nm,650 MHz,LPDDR4,13 MP,8 Mp,Missing,6.14 inç,Missing,Missing,USB Type-C,5000 mAh,32 GB,2020,"2.510,00 TL"
177,5.99 inç,IPS LCD,76.3 %,Qualcomm MSM8937 Snapdragon 430,1.4 GHz,Adreno 505,3 GB RAM,Android 8.0 (Oreo),28 nm,450 MHz,LPDDR3,13 MP,8 Mp,76.7 mm,5.99 inç,7.8 mm,155 gr,Micro-USB,3000 mAh,32 GB,2018,"1.749,00 TL"
178,6.22 inç,IPS LCD,81.6 %,Mediatek MT6762D Helio P22,1.8 GHz,PowerVR GE8320,3 GB RAM,Android 10.0,12 nm,600 MHz,LPDDR4x,13 MP,5 MP,74.6 mm,6.22 inç,8.5 mm,165 gr,Micro-USB,4000 mAh,32 GB,2020,"1.763,02 TL"
179,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"298,02 TL"
180,6.4 inç,Super AMOLED,83.3 %,Qualcomm SM7125 Snapdragon 720G,2.3 GHz,Adreno 618,6 GB RAM,Android 11,8 nm,750 MHz,LPDDR4x,108 MP,16 MP,73.9 mm,6.4 inç,8.1 mm,176 gr,USB Type-C,4500 mAh,128 GB,2021,"4.898,99 TL"
181,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"1.841,42 TL"
182,6.43 inç,OLED,83.5 %,Qualcomm SM7125 Snapdragon 720G,2.3 GHz,Adreno 618,8 GB RAM,Android 10.0,8 nm,750 MHz,LPDDR4x,48 MP,32 MP,73.9 mm,6.43 inç,7.7 mm,165 gr,USB Type-C,4015 mAh,128 GB,2020,"5.299,00 TL"
183,6.67 inç,IPS LCD,84.5 %,Qualcomm SM7125 Snapdragon 720G,2.3 GHz,Adreno 618,6 GB RAM,Android 10.0,8 nm,750 MHz,LPDDR4x,48 MP,16 MP,76.7 mm,6.67 inç,8.8 mm,209 gr,USB Type-C,5020 mAh,128 GB,2020,"3.527,02 TL"
184,6.5 inç,IPS LCD,82.7 %,Mediatek Helio G70,2.0 GHz,Mali-G52 2EEMC2,4 GB RAM,Android 10.0,12 nm,820 MHz,LPDDR4x,12 MP,5 MP,75 mm,6.5 inç,9 mm,195 gr,Micro-USB,5000 mAh,64 GB,2020,"2.597,00 TL"
185,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"87,7 g",Missing,Missing,Missing,Missing,"345,00 TL"
186,6.2 inç,Super AMOLED,83.61 %,Samsung Exynos 9 Series 9810,2.8 GHz,Mali-G72 MP18,6 GB RAM,Android 8.0 (Oreo),10 nm,710 MHz,LPDDR4x,12 MP,1440p,73.8 mm,6.2 inç,8.5 mm,189 gr,USB Type-C,3000 mAh,64 GB,2018,"6.550,00 TL"
187,6.1 inç,IPS LCD,78.31 %,Apple A12 Bionic,2.5 GHz,Apple G11P MP4,3 GB RAM,iOS 12,7 nm,Missing,LPDDR4x,12 MP,7 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,2942 mAh,128 GB,2018,"10.824,00 TL"
188,6.7 inç,Dynamic AMOLED,90.5 %,Exynos 990,2.73 GHz,Mali-G77 MP11,8 GB RAM,Android 10.0,7 nm+,Missing,Missing,64 MP,10 MP,73.7 mm,6.7 inç,7.8 mm,186 gr,USB Type-C,4500 mAh,128 GB,2020,"10.976,00 TL"
189,6.8 inç,IPS LCD,83.2 %,Mediatek Helio G70,2.0 GHz,Mali-G52 2EEMC2,6 GB RAM,Android 10.0,12 nm,Missing,LPDDR4x,64 MP,16 MP,77.2 mm,6.8 inç,9.2 mm,207 gr,Micro-USB,5000 mAh,128 GB,2020,"2.469,60 TL"
190,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"359,00 TL"
191,6.4 inç,Super AMOLED,84.5 %,Samsung Exynos 7 Series 9610,2.3 GHz,Mali-G72 MP3,6 GB RAM,Android 9.0 (Pie),10 nm,Missing,LPDDR4x,25 MP,25 MP,74.7 mm,6.4 inç,7.7 mm,166 gr,USB Type-C,4000 mAh,64 GB,2019,"4.409,02 TL"
192,6.59 inç,IPS LCD,84.35 %,Huawei Kirin 710F,2.2 GHz,Mali-G51 MP4,4 GB RAM,Android 9.0 (Pie),12 nm,1000 MHz,Missing,48 MP,16 MP,77.3 mm,6.59 inç,8.8 mm,196.8 gr,USB Type-C,4000 mAh,128 GB,2019,"2.779,00 TL"
193,6.52 inç,IPS LCD,88.0 %,Missing,Missing,Missing,3 GB RAM,Android 10 (Q),Missing,Missing,LPDDR4,13 MP,8 Mp,Missing,6.52 inç,Missing,Missing,Micro-USB,5000 mAh,64 GB,2020,"2.225,00 TL"
194,6.22 inç,IPS LCD,81.6 %,Mediatek MT6762D Helio P22,1.8 GHz,PowerVR GE8320,4 GB RAM,Android 10.0,12 nm,600 MHz,Missing,13 MP,5 MP,74.6 mm,6.22 inç,8.5 mm,165 gr,Micro-USB,4000 mAh,64 GB,2020,"1.860,04 TL"
195,6.67 inç,IPS LCD,84.5 %,Qualcomm SM7125 Snapdragon 720G,2.3 GHz,Adreno 618,4 GB RAM,Android 10.0,8 nm,750 MHz,LPDDR4x,48 MP,16 MP,76.7 mm,6.67 inç,8.8 mm,209 gr,USB Type-C,5020 mAh,64 GB,2020,"3.499,00 TL"
196,6.51 inç,IPS LCD,82.16%,MediaTek Helio P25,1.6 GHz,Mali-T880 MP2,4 GB RAM,Android 11,16 nm,Missing,Missing,13 MP,5 MP,Missing,6.51 inç,Missing,Missing,USB Type-C,4900 mAh,128 GB,2021,"1.999,00 TL"
197,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"2.699,99 TL"
198,5.65 inç,IPS LCD,76.17 %,HiSilicon Kirin 659,2.36 GHz,Mali-G51 MP2,3 GB RAM,Android 8.0 (Oreo),16 nm,Missing,LPDDR3,13 MP,720p,72.05 mm,5.65 inç,7.45 mm,145 gr,Micro-USB,3000 mAh,32 GB,2018,"2.351,02 TL"
199,6.1 inç,IPS LCD,78.31 %,Apple A12 Bionic,2.5 GHz,Apple G11P MP4,3 GB RAM,iOS 12,7 nm,Missing,LPDDR4x,12 MP,7 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,2942 mAh,128 GB,2018,"10.279,99 TL"
200,6.4 inç,Super AMOLED,84.3 %,MediaTek Helio G80 (MT6769V),2.0 GHz,Mali-G52 MC2,4 GB RAM,Android 11,12 nm,950 MHz,Missing,48 MP,13 MP,73.6 mm,6.4 inç,8.4 mm,186 gr,USB Type-C,5000 mAh,64 GB,2021,"3.419,22 TL"
201,6.1 inç,OLED,86.0 %,Apple A15 Bionic,3.22 GHz,5x Apple GPU,6 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,71.5 mm,6.1 inç,7.7 mm,204 gr,Lightning,3125 mAh,512 GB,2021,"28.450,00 TL"
202,6.1 inç,IPS LCD,80.3 %,MediaTek MT6762 Helio P22,2.0 GHz,PowerVR GE8320,3 GB RAM,Android 9.0 (Pie),12 nm,650 MHz,Missing,13 MP,5 MP,73.7 mm,6.1 inç,8.5 mm,166 gr,Micro-USB,4000 mAh,64 GB,2019,"1.896,30 TL"
203,6.22 inç,IPS LCD,81.6 %,Mediatek MT6762D Helio P22,1.8 GHz,PowerVR GE8320,3 GB RAM,Android 10.0,12 nm,600 MHz,LPDDR4x,13 MP,5 MP,74.6 mm,6.22 inç,8.5 mm,165 gr,Micro-USB,4000 mAh,32 GB,2020,"1.763,02 TL"
204,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,145 g,Missing,Missing,Missing,Missing,"1.299,00 TL"
205,6.52 inç,IPS LCD,82.45 %,MediaTek MT6762 (Helio P22),2.0 GHz,PowerVR GE8320,6 GB RAM,Android 10 (Q),12 nm,650 MHz,LPDDR4x,16 MP,8 Mp,75 mm,6.52 inç,9.09 mm,186 gr,Micro-USB,5000 mAh,128 GB,2020,"2.599,00 TL"
206,6.6 inç,IPS LCD,83.2 %,Mediatek MT6761D Helio A20,1.8 GHz,PowerVR GE8320,3 GB RAM,Android 10 (Go edition),12 nm,Missing,Missing,13 MP,8 Mp,76.4 mm,6.6 inç,8.8 mm,183 gr,Micro-USB,5000 mAh,64 GB,2020,"1.799,00 TL"
207,6.22 inç,IPS LCD,81.6 %,Mediatek MT6762D Helio P22,1.8 GHz,PowerVR GE8320,4 GB RAM,Android 10.0,12 nm,600 MHz,Missing,13 MP,5 MP,74.6 mm,6.22 inç,8.5 mm,165 gr,Micro-USB,4000 mAh,64 GB,2020,"1.860,04 TL"
208,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"1.199,00 TL"
209,6.4 inç,AMOLED,84.2 %,Qualcomm SDM730 Snapdragon 730G,2.2 GHz,Adreno 618,8 GB RAM,Android 9.0 (Pie),8 nm,Missing,LPDDR4x,48 MP,44 MP,73.3 mm,6.4 inç,8 mm,181 gr,USB Type-C,4025 mAh,128 GB,Missing,"4.311,02 TL"
210,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"399,00 TL"
211,6.09 inç,IPS LCD,79.2 %,Mediatek MT6765 Helio P35,2.3 GHz,PowerVR GE8320,3 GB RAM,Android 9.0 (Pie),12 nm,680 MHz,Missing,13 MP,8 Mp,73.5 mm,6.09 inç,8 mm,150 gr,Micro-USB,3020 mAh,64 GB,2020,"1.949,00 TL"
212,5.8 inç,OLED,79.4 %,Apple A12 Bionic,2.5 GHz,Apple G11P MP4,4 GB RAM,iOS 12,7 nm,Missing,LPDDR4x,12 MP,7 MP,70.9 mm,5.8 inç,7.7 mm,177 gr,Lightning,2658 mAh,64 GB,2018,"11.323,74 TL"
213,6.2 inç,Dynamic AMOLED,89.1 %,Qualcomm SM8250 Snapdragon 865+,3.09 GHz,Adreno 650,12 GB RAM,Android 10.0,7 nm+,Missing,Missing,12 MP,10 MP,128.2 mm,6.2 inç,6.9 mm,279 gr,USB Type-C,4500 mAh,256 GB,2020,"17.999,00 TL"
214,6.53 inç,IPS LCD,83.5 %,MediaTek Helio G85,2.0 GHz,Mali-G52 MC2,3 GB RAM,Android 10.0,12 nm,1000 MHz,LPDDR4x,48 MP,13 MP,77.2 mm,6.53 inç,8.9 mm,199 gr,USB Type-C,5020 mAh,64 GB,2020,"3.550,95 TL"
215,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"2.469,60 TL"
216,5.3 inç,PLS TFT,74.5 %,MediaTek MT6739,1.5 GHz,PowerVR GE8100,1 GB RAM,Android 10 (Go edition),28 nm,570 MHz,Missing,8 MP,5 MP,67.5 mm,5.3 inç,8.6 mm,150 gr,Micro-USB,3000 mAh,16 GB,2019,"1.704,22 TL"
217,6.5 inç,IPS LCD,82.7 %,Mediatek Helio G70,2.0 GHz,Mali-G52 2EEMC2,2 GB RAM,Android 10.0,12 nm,820 MHz,LPDDR4x,12 MP,5 MP,75 mm,6.5 inç,9 mm,195 gr,Micro-USB,5000 mAh,32 GB,2020,"2.082,50 TL"
218,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"1.279,88 TL"
219,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"82,9 g",Missing,Missing,Missing,Missing,"329,00 TL"
220,6.5 inç,PLS,81.24 %,Qualcomm SDM450 Snapdragon 450,1.8 GHz,Adreno 506,3 GB RAM,Android 9.0 (Pie),Missing,Missing,Missing,13 MP,8 Mp,77.5 mm,6.5 inç,8 mm,183 gr,USB Type-C,4000 mAh,32 GB,2019,"2.841,02 TL"
221,6.43 inç,Super AMOLED,83.5 %,Qualcomm SDM678 Snapdragon 678,2.2 GHz,Adreno 612,4 GB RAM,Android 11,11 nm,Missing,LPDDR4x,48 MP,13 MP,74.5 mm,6.43 inç,8.3 mm,178.8 gr,USB Type-C,5000 mAh,64 GB,2021,"3.554,00 TL"
222,6.5 inç,IPS LCD,81.7 %,MediaTek Helio G35,2.3 GHz,PowerVR GE8320,2 GB RAM,Android 10.0,12 nm,680 MHz,Missing,13 MP,5 MP,75.9 mm,6.5 inç,9.1 mm,196 gr,Micro-USB,5000 mAh,32 GB,2020,"1.959,02 TL"
223,6.09 inç,IPS LCD,79.2 %,Mediatek MT6765 Helio P35,2.3 GHz,PowerVR GE8320,3 GB RAM,Android 9.0 (Pie),12 nm,680 MHz,Missing,13 MP,8 Mp,73.5 mm,6.09 inç,8 mm,150 gr,Micro-USB,3020 mAh,32 GB,2020,"2.159,00 TL"
224,6.6 inç,IPS LCD,83.2 %,Mediatek MT6761D Helio A20,1.8 GHz,PowerVR GE8320,3 GB RAM,Android 10 (Go edition),12 nm,Missing,Missing,13 MP,8 Mp,76.4 mm,6.6 inç,8.8 mm,183 gr,Micro-USB,5000 mAh,64 GB,2020,"1.799,00 TL"
225,5.4 inç,OLED,85.1 %,Apple A14 Bionic,3.1 GHz,Apple GPU (4-core graphics),4 GB RAM,İOS 14.1,5 nm,Missing,Missing,12 MP,12 MP,64.2 mm,5.4 inç,7.4 mm,135 gr,Lightning,2227 mAh,256 GB,2020,"13.030,76 TL"
226,6.21 inç,IPS LCD,82.61 %,Huawei Kirin 710F,2.2 GHz,Mali-G51 MP4,4 GB RAM,Android 9.0 (Pie),12 nm,1000 MHz,Missing,24 MP,32 MP,73.64 mm,6.21 inç,7.95 mm,164 gr,Micro-USB,3400 mAh,128 GB,2019,"3.425,59 TL"
227,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,5:3,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"239,00 TL"
228,6.3 inç,IPS LCD,83.12 %,Qualcomm Snapdragon 712 (SDM712),2.3 GHz,Adreno 616,4 GB RAM,Android 9.0 (Pie),10 nm,610 MHz,LPDDR4x,48 MP,16 MP,74.2 mm,6.3 inç,8.9 mm,184 gr,USB Type-C,4035 mAh,128 GB,2019,"4.679,00 TL"
229,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"783,02 TL"
230,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"1.839,00 TL"
231,6.26 inç,IPS LCD,77.87 %,UNISOC SC9863A,1.6 GHz,PowerVR GE8322,4 GB RAM,Android 11,28 nm,550 MHz,LPDDR4x,8 MP,5 MP,77.2 mm,6.26 inç,9.25 mm,190 gr,Micro-USB,3800 mAh,64 GB,2021,"1.599,00 TL"
232,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"2.744,00 TL"
233,6.7 inç,Dynamic AMOLED 2X,88.3 %,Exynos 2100,2.9 GHz,Mali-G78 MP14,8 GB RAM,Android 11,5 nm,Missing,LPDDR5,64 MP,10 MP,75.6 mm,6.7 inç,7.8 mm,200 gr,USB Type-C,4800 mAh,256 GB,2021,"16.399,00 TL"
234,6.5 inç,IPS LCD,80.6 %,Missing,2.0 GHz,Missing,3 GB RAM,Android 10.0,Missing,Missing,Missing,13 MP,8 Mp,76.4 mm,6.5 inç,8.2 mm,Missing,USB Type-C,4000 mAh,32 GB,2020,"1.959,02 TL"
235,6.52 inç,IPS LCD,81.8 %,MediaTek MT6765G Helio G35,2.3 GHz,PowerVR GE8320,4 GB RAM,Android 11,12 nm,680 MHz,LPDDR4x,48 MP,8 Mp,76.1 mm,6.52 inç,9.5 mm,Missing,Micro-USB,6000 mAh,64 GB,2021,"2.649,99 TL"
236,6.4 inç,Super AMOLED,84.21 %,Samsung Exynos 7 Octa 7884,1.6 GHz,Mali-G71 MP2,3 GB RAM,Android 9.0 (Pie),14 nm,Missing,LPDDR4,13 MP,8 Mp,74.7 mm,6.4 inç,7.8 mm,169 gr,USB Type-C,4000 mAh,32 GB,2019,"2.799,00 TL"
237,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"2.499,00 TL"
238,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,1:1,Missing,Missing,"71,2 g",Missing,Missing,Missing,Missing,"317,52 TL"
239,6.4 inç,Super AMOLED,84.5 %,Samsung Exynos 7 Series 9610,2.3 GHz,Mali-G72 MP3,6 GB RAM,Android 9.0 (Pie),10 nm,Missing,LPDDR4x,25 MP,25 MP,74.7 mm,6.4 inç,7.7 mm,166 gr,USB Type-C,4000 mAh,64 GB,2019,"4.409,02 TL"
240,6.09 inç,IPS LCD,86 %,MediaTek MT6762D (Helio A25),1.8 GHz,PowerVR GE8320,3 GB RAM,Android 10 (Q),12 nm,600 MHz,LPDDR3,13 MP,8 Mp,Missing,6.09 inç,8.8 mm,Missing,USB Type-C,4000 mAh,2 GB,2020,"1.839,00 TL"
241,6.51 inç,IPS LCD,82.16%,MediaTek Helio P25,1.6 GHz,Mali-T880 MP2,4 GB RAM,Android 11,16 nm,Missing,Missing,13 MP,5 MP,Missing,6.51 inç,Missing,Missing,USB Type-C,4900 mAh,128 GB,2021,"1.999,00 TL"
242,6.53 inç,IPS LCD,82.77 %,MediaTek MT6771T (Helio P70),2.1 GHz,Mali-G72 MP3,8 GB RAM,Android 9.0 (Pie),12 nm,700 MHz,Missing,48 MP,24 MP,77.6 mm,6.53 inç,8.7 mm,187 gr,USB Type-C,3500 mAh,256 GB,2020,"2.799,00 TL"
243,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"2.497,04 TL"
244,5.8 inç,OLED,82.1 %,Apple A13 Bionic,2.66 GHz,Missing,4 GB RAM,iOS 13,7 nm,Missing,LPDDR4x,12 MP,12 MP,71.4 mm,5.8 inç,8.1 mm,188 gr,Lightning,Missing,512 GB,2019,"19.403,02 TL"
245,6.7 inç,Dynamic AMOLED,Missing,Exynos 2100,Missing,Missing,8 GB RAM,Android 11,5 nm,Missing,LPDDR5,12 MP,10 MP,Missing,6.7 inç,Missing,Missing,USB Type-C,4800 mAh,128 GB,2020,"15.179,22 TL"
246,5.5 inç,IPS LCD,73.82 %,MediaTek MT6739,1.5 GHz,PowerVR GE8100,1 GB RAM,Android 8.1 (Oreo GO Edition),28 nm,570 MHz,LPDDR3,13 MP,5 MP,70.5 mm,5.5 inç,8.59 mm,152 gr,Micro-USB,3500 mAh,16 GB,2018,"1.420,02 TL"
247,5.99 inç,IPS LCD,77.38 %,Qualcomm SDM660 Snapdragon 660,2.2 GHz,Adreno 512,4 GB RAM,Android 8.1 (Oreo),14 nm,650 MHz,LPDDR4x,12 MP,20 MP,75.4 mm,5.99 inç,7.3 mm,168 gr,USB Type-C,3010 mAh,64 GB,2018,"2.999,00 TL"
